id_pok	tytul
26	ANSI C
26	ANSI C
27	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
27	FLASH I PHP
27	KATALOG CYFROWYCH UKLADOW SCALONYCH
27	JEZYKI PROGRAMOWANIA I
27	PROGRAMOWANIE MIKROKONTROLEROW I
27	SIECI NEURONOWE
27	ANSI C
27	AUTOMATYKA II
28	TECHNOLOGIA LITOGRAFII 20NM
28	MATEMATYKA DYSKRETNA II
28	ELEKTRONIKA ANALOGOWA I
28	OPTYMALIZACJA ALGORYTMOW II
29	ANSI C
29	ROBOTYKA I
3	ALGERBA I
3	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
3	RELACYJNE BAZY DANYCH I
3	TEORIA GRAFOW
30	BIBLIA ASSEMBLERA II
30	RELACYJNE BAZY DANYCH II
31	FIZYKA CIALA STALEGO II
31	TEORIA GIER
31	OPTYMALIZACJA ALGORYTMOW I
32	PODSTAWY KRYPTOGRAFII I
32	TESTY PENETRACYJNE SIECI WIFI
32	RELACYJNE BAZY DANYCH II
32	TEORIA GIER
32	PROGRAMOWANIE URZADZEN MOBILNYCH
32	TESTY PENETRACYJNE SIECI WIFI
32	TESTY PENETRACYJNE SIECI WIFI
32	ZLACZA ELEKTRYCZNE I ELEKTRONICZNE
32	TESTY PENETRACYJNE SIECI WIFI
32	APARATURA POMIAROWA
32	TESTY PENETRACYJNE SIECI WIFI
32	RELACYJNE BAZY DANYCH II
32	ANSI C
32	MATEMATYKA DYSKRETNA I
33	C# I .NET
33	AUTOCAD DOBRE PRAKTYKI
33	AUTOCAD DOBRE PRAKTYKI
33	AUTOMATYKA II
33	GRAFIKA KOMPUTEROWA III
34	ROBOTYKA II
34	ALGORYTMY GENETYCZNE
34	ALGORYTMY GENETYCZNE
34	MIKROKONTROLERY AVR
34	ANSI C
34	AUTOMATYKA III
34	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
34	ANALIZA MATEMATYCZNA II
35	AUDYT BEZPIECZENSTWA SIECI
35	ALGERBA III
35	PROGRAMOWANIE MIKROKONTROLEROW I
36	TEORIA GRAFOW
36	JEZYKI PROGRAMOWANIA I
36	AUTOMATYKA I
36	ELEKTRONIKA ANALOGOWA II
37	OPTYMALIZACJA ALGORYTMOW II
37	MATEMATYKA DYSKRETNA II
37	KATALOG CYFROWYCH UKLADOW SCALONYCH
39	OPTYMALIZACJA ALGORYTMOW I
39	PHP I MYSQL
39	ANALIZA MATEMATYCZNA II
39	AUTOMATYKA I
4	ALGERBA I
4	JAK DZIALA LINUX
4	TECHNOLOGIA LITOGRAFII 20NM
4	APARATURA POMIAROWA
4	PROGRAMOWANIE URZADZEN MOBILNYCH
4	FIZYKA CIALA STALEGO II
4	C# I .NET
40	CHEMIA KWANTOWA I
40	MATEMATYKA DYSKRETNA II
41	ELEKTRONIKA ANALOGOWA I
41	MERNICTWO ELEKTRYCZNE II
41	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO I
42	C# I .NET
42	ELEKTRONIKA CYFROWA I
42	FIZYKA CIALA STALEGO II
42	SIECI NEURONOWE
43	ELEKTRONIKA CYFROWA I
43	FIZYKA CIALA STALEGO II
43	PODSTAWY KRYPTOGRAFII II
43	OPTYMALIZACJA ALGORYTMOW I
43	CHEMIA FIZYCZNA
43	FLASH I PHP
43	RELACYJNE BAZY DANYCH III
44	KANONY WIEDZY PROGRAMISTYCZNEJ
44	MERNICTWO ELEKTRYCZNE II
44	KANONY WIEDZY PROGRAMISTYCZNEJ
44	WSTEP DO CSS3 I HTML5
44	PODSTAWY KRYPTOGRAFII I
44	PROGRAMOWANIE WSPOLBIEZNE
45	LINUX KSIEGA ADMINISTRATORA I
45	TEORIA GRAFOW
45	TESTY PENETRACYJNE SIECI WIFI
45	PROGRAMOWANIE MIKROKONTROLEROW II
45	METODY NUMERYCZNE I
45	FIZYKA CIALA STALEGO II
46	PODSTAWY KRYPTOGRAFII I
46	ROBOTYKA II
46	AUDYT BEZPIECZENSTWA SIECI
46	FIZYKA TECHNICZNA I
47	JAK DZIALA LINUX
47	TEORIA GRAFOW
47	STEROWNIKI PRZEMYSLOWE II
47	WSTEP DO INFORMATYKI
47	ZLACZA ELEKTRYCZNE I ELEKTRONICZNE
48	KATALOG CYFROWYCH UKLADOW SCALONYCH
48	ANALIZA MATEMATYCZNA II
48	BIBLIA ASSEMBLERA I
48	PROGRAMOWANIE MIKROKONTROLEROW II
48	CHEMIA KWANTOWA I
49	ELEKTRONIKA CYFROWA II
49	ANALIZA I KOREKCJA BLEDOW
5	TEORIA GRAFOW
5	TESTOWANIE UKLADOW VLSI
5	JEZYKI PROGRAMOWANIA II
5	CHEMIA KWANTOWA II
50	AUTOMATYKA III
50	TESTOWANIE UKLADOW VLSI
50	LINUX KSIEGA ADMINISTRATORA I
50	AUTOMATYKA II
50	TESTOWANIE UKLADOW VLSI
50	AUTOCAD DOBRE PRAKTYKI
50	TESTY PENETRACYJNE SIECI WIFI
51	WSTEP DO CSS3 I HTML5
51	WSTEP DO TEORII LICZB
51	KANONY WIEDZY PROGRAMISTYCZNEJ
51	ANSI C
51	AUTOCAD DOBRE PRAKTYKI
51	TEORIA GRAFOW
51	ALGERBA II
51	RELACYJNE BAZY DANYCH II
51	RELACYJNE BAZY DANYCH III
51	CHEMIA KWANTOWA II
51	FIZYKA TECHNICZNA II
52	ELEKTRONIKA CYFROWA II
52	TEORIA GIER
52	LINUX KSIEGA ADMINISTRATORA I
53	ANALIZA MATEMATYCZNA I
53	ELEKTRONIKA CYFROWA I
53	FLASH I PHP
53	ALGORYTMY BEZ TAJEMNIC
53	WSTEP DO CSS3 I HTML5
53	TRANSMISJA DVB-T DVB-C I DVB-S
53	KOMPUTEROWA ANALIZA OBRAZOWANIA MEDYCZNEGO II
53	CHEMIA FIZYCZNA
53	ANALIZA MATEMATYCZNA I
54	ALGORYTMY GENETYCZNE
54	KATALOG CYFROWYCH UKLADOW SCALONYCH
54	TESTY PENETRACYJNE SIECI WIFI
54	TRANSMISJA DVB-T DVB-C I DVB-S
55	AUTOMATYKA III
55	APARATURA POMIAROWA
55	PROGRAMOWANIE WSPOLBIEZNE
55	RELACYJNE BAZY DANYCH I
55	JEZYKI PROGRAMOWANIA II
55	SIECI NEURONOWE
55	MERNICTWO ELEKTRYCZNE I
56	PHP I MYSQL
56	MIKROKONTROLERY AVR
56	SYSTEMY OPERACYJNE
56	KANONY WIEDZY PROGRAMISTYCZNEJ
56	PODSTAWY KRYPTOGRAFII II
56	SIECI NEURONOWE
56	FIZYKA CIALA STALEGO I
57	LINUX KSIEGA ADMINISTRATORA I
57	ALGERBA I
58	ANALIZA MATEMATYCZNA II
58	AUTOMATYKA III
59	TESTY PENETRACYJNE SIECI WIFI
59	FIZYKA CIALA STALEGO II
59	FIZYKA CIALA STALEGO III
6	WSTEP DO INFORMATYKI
6	RELACYJNE BAZY DANYCH II
6	TESTY PENETRACYJNE SIECI WIFI
6	TESTOWANIE UKLADOW VLSI
6	ALGERBA II
6	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
60	CHEMIA KWANTOWA II
60	FIZYKA TECHNICZNA I
61	MATEMATYKA DYSKRETNA II
61	OPTYMALIZACJA ALGORYTMOW I
62	WSTEP DO TEORII LICZB
62	PODSTAWY KRYPTOGRAFII I
62	BIBLIA ASSEMBLERA I
62	ANALIZA MATEMATYCZNA I
62	ALGORYTMY BEZ TAJEMNIC
62	STEROWNIKI PRZEMYSLOWE I
62	FIZYKA TECHNICZNA II
62	TEORIA GRAFOW
62	PODSTAWY KRYPTOGRAFII II
62	ELEKTRONIKA CYFROWA II
63	STEROWNIKI PRZEMYSLOWE I
63	ALGORYTMY KOMPRESJI STRATNEJ I BEZSTRATNEJ
63	AUDYT BEZPIECZENSTWA SIECI
63	MATEMATYKA DYSKRETNA I
63	CHEMIA KWANTOWA I
64	ANALIZA MATEMATYCZNA I
64	FIZYKA CIALA STALEGO III
64	WSTEP DO CSS3 I HTML5
65	CHEMIA FIZYCZNA
65	OPTYMALIZACJA ALGORYTMOW II
65	ALGERBA II
65	GRAFIKA KOMPUTEROWA III
66	ANSI C
66	AUTOCAD DOBRE PRAKTYKI
66	MERNICTWO ELEKTRYCZNE I
67	KATALOG CYFROWYCH UKLADOW SCALONYCH
67	ALGERBA II
67	ALGERBA I
67	APARATURA POMIAROWA
67	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
67	PODSTAWY KRYPTOGRAFII I
67	BIBLIA ASSEMBLERA I
68	MATEMATYKA DYSKRETNA II
68	CHEMIA FIZYCZNA
68	LINUX KSIEGA ADMINISTRATORA II
68	TECHNOLOGIA LITOGRAFII 20NM
68	ALGERBA II
68	SIECI NEURONOWE
68	ALGERBA I
69	OPTYMALIZACJA ALGORYTMOW I
69	LINUX KSIEGA ADMINISTRATORA I
69	STEROWNIKI PRZEMYSLOWE II
69	AUTOCAD DOBRE PRAKTYKI
69	WSTEP DO TEORII LICZB
69	MATEMATYKA DYSKRETNA II
69	OPTYMALIZACJA ALGORYTMOW I
7	KATALOG CYFROWYCH UKLADOW SCALONYCH
7	MERNICTWO ELEKTRYCZNE II
7	FIZYKA CIALA STALEGO III
7	ANALIZA ZLOZONYCH PROCESOW TECHNOLOGICZNYCH
70	CHEMIA KWANTOWA II
70	METODY NUMERYCZNE II
8	ELEKTRONIKA CYFROWA I
8	101 ZABEZPIECZEN PRZED ATAKAMI W SIECI KOMPUTEROWEJ
8	RELACYJNE BAZY DANYCH I
8	AUTOMATYKA II
8	TECHNOLOGIA LITOGRAFII 20NM
9	JEZYKI PROGRAMOWANIA III
9	ANALIZA MATEMATYCZNA II
9	JEZYKI PROGRAMOWANIA II
9	SIECI NEURONOWE
